"Cluster"
"PIP3-E" 4
"LAIR1" 5
"C21orf96" 5
"FLJ20035" 3
"ALDH2" 2
"EMP2" 25
"C3" 1
"MGC26356" 1
"APOC4" 3
"CTSL2" 8
"TRIM2" 1
"KIAA1622" 1
"DNM1" 2
"UGT2B10" 2
"KRT26" 26
"ZNF25" 1
"SERPING1" 14
"AADACL4" 7
"KLRG2" 11
"LRRC4C" 29
"C1orf168" 1
"TDRD5" 3
"NLRP10" 14
"Rgr" 1
"PDCL2" 8
"GHRL" 14
"SLC17A3" 2
"GMFG" 5
"PIK3AP1" 10
"SLAMF1" 10
"MBD5" 4
"PHLDA1" 1
"ACTC1" 1
"OXTR" 8
"ERO1L" 12
"ENDOG" 3
"WNT3" 8
"ZNF549" 1
"LGI4" 3
"KRT37" 11
"NACAD" 2
"MFAP5" 17
"CD300A" 5
"VASH1" 4
"CNIH" 23
"CLEC3B" 41
"SLC35A5" 9
"SLC22A16" 2
"NEBL" 0
"CCDC18" 8
"LYSMD2" 1
"EFHA2" 1
"MYH13" 2
"TMED9" 32
"UGT2B4" 37
"PKIB" 1
"COLEC11" 2
"MGC88374" 1
"MGST1" 1
"SRD5A2" 0
"IL27RA" 1
"FBXO36" 2
"MMP20" 1
"ALPP" 12
"DGKD" 7
"C5orf4" 6
"MMP23B" 17
"IFI16" 5
"CSTA" 5
"CAPN6" 1
"LAMB3" 28
"PPL" 1
"CCL26" 20
"RALGPS1" 1
"C8orf13" 8
"S100A3" 10
"C10orf59" 2
"ALDH6A1" 24
"CTSB" 1
"ZFP36" 3
"CMYA5" 2
"NEDD4L" 1
"EDAR" 0
"C6orf60" 0
"IL1A" 11
"C20orf160" 6
"TXNDC3" 14
"FAM3B" 1
"TCEAL6" 1
"SELP" 6
"KRT8" 3
"ROPN1" 11
"SENP8" 9
"PANK1" 21
"LTB4DH" 12
"SPP1" 4
"GLI1" 19
"SFTPD" 2
"TRPA1" 2
"FAM81B" 2
"PHOSPHO2" 9
"PTGS2" 2
"BMP7" 15
"NEFL" 33
"FLJ23861" 2
"COX7B" 7
"ATP6V1A" 3
"ADH1C" 17
"IL21R" 16
"CTSK" 5
"HNF4G" 1
"UBE2Q2" 9
"UGT2A3" 2
"DEPDC6" 0
"SLCO1B1" 11
"SST" 0
"KCNN3" 4
"ITIH3" 15
"TNFRSF19" 2
"PLCXD3" 0
"DENND2A" 1
"RHOV" 11
"KCNAB1" 6
"MXRA5" 17
"GRM1" 1
"TRPC4" 4
"GRTP1" 18
"C20orf54" 2
"ITGB8" 2
"OR10A6" 0
"SLC19A1" 8
"C1orf217" 13
"MFAP3L" 21
"FHL5" 6
"ACAN" 4
"CHST2" 2
"RPS4Y1" 37
"ART4" 17
